id,clave,rol,nombre,correo,fechaNacimiento,genero,tipoMembresia,fechaInicio,fechaVencimiento,montoPagar,estadoPago,estado
1763852401,R9v#3d,usuario,Tomás Méndez,tomas.mendez@ejemplo.com,07/06/1990,Masculino,Oro,01/11/2024,01/12/2024,60000.00,debiendo,activo
1823947650,L4q@8s,usuario,Andrea Morales,andrea.morales@ejemplo.com,15/04/1995,Femenino,Plata,01/08/2024,01/09/2024,45000.00,debiendo,activo
1439582061,N2k!5j,usuario,Santiago López,santiago.lopez@ejemplo.com,20/01/1989,Masculino,Bronce,01/04/2024,01/05/2024,0.00,pagado,activo
1567384920,L5q@9n,usuario,Juliana Vega,juliana.vega@ejemplo.com,12/02/1991,Femenino,Oro,01/06/2024,01/07/2024,60000.00,debiendo,activo
1987563492,H3b#6t,usuario,Federico González,federico.gonzalez@ejemplo.com,17/09/1990,Masculino,Plata,01/07/2024,01/08/2024,0.00,pagado,activo
1673829401,D8k!2p,usuario,Carla Rodríguez,carla.rodriguez@ejemplo.com,23/11/1992,Femenino,Bronce,01/08/2024,01/09/2024,30000.00,debiendo,activo
1459273618,K6v@1m,usuario,José Pérez,jose.perez@ejemplo.com,19/03/1988,Masculino,Oro,01/09/2024,01/10/2024,60000.00,debiendo,activo
1792837462,F9r!7d,usuario,Claudia Gómez,claudia.gomez@ejemplo.com,01/10/1994,Femenino,Plata,01/10/2024,01/11/2024,45000.00,debiendo,inactivo
1324958670,M2n$3b,usuario,Samuel Ortega,samuel.ortega@ejemplo.com,15/05/1989,Masculino,Bronce,01/04/2024,01/05/2024,0.00,pagado,activo
1938471650,C5t#8m,usuario,Fernanda Jiménez,fernanda.jimenez@ejemplo.com,07/08/1993,Femenino,Oro,01/11/2024,01/12/2024,60000.00,debiendo,activo
1982735641,Z4v@6r,usuario,Carlos Núñez,carlos.nunez@ejemplo.com,24/12/1991,Masculino,Plata,01/09/2024,01/10/2024,45000.00,debiendo,activo
1783650921,Q9f!1c,usuario,Alejandra Ruiz,alejandra.ruiz@ejemplo.com,18/06/1995,Femenino,Bronce,01/05/2024,01/06/2024,0.00,pagado,activo
1648273509,L7h#4w,usuario,Fabio Salazar,fabio.salazar@ejemplo.com,09/04/1987,Masculino,Oro,01/07/2024,01/08/2024,60000.00,debiendo,activo
1258394726,P8k$5l,usuario,Daniela Reyes,daniela.reyes@ejemplo.com,13/07/1992,Femenino,Plata,01/06/2024,01/07/2024,45000.00,debiendo,inactivo
1749285362,X2m@3b,usuario,Marcos Castro,marcos.castro@ejemplo.com,29/08/1990,Masculino,Bronce,01/03/2024,01/04/2024,0.00,pagado,activo
1894720365,R9v!1t,usuario,Valeria Peña,valeria.pena@ejemplo.com,14/09/1994,Femenino,Oro,01/10/2024,01/11/2024,60000.00,debiendo,activo
1439582736,H1p#6f,usuario,Ignacio Rodríguez,ignacio.rodriguez@ejemplo.com,20/02/1986,Masculino,Plata,01/08/2024,01/09/2024,45000.00,debiendo,inactivo
1573826490,D5r!9c,usuario,María Morales,maria.morales@ejemplo.com,08/10/1991,Femenino,Bronce,01/09/2024,01/10/2024,0.00,pagado,activo
1283957461,Z8m@7b,usuario,Oscar Martínez,oscar.martinez@ejemplo.com,04/06/1989,Masculino,Oro,01/05/2024,01/06/2024,60000.00,debiendo,inactivo
1948273059,N6q#9m,usuario,Paola Vargas,paola.vargas@ejemplo.com,31/01/1995,Femenino,Plata,01/07/2024,01/08/2024,0.00,pagado,activo
1538496207,K3f!4p,usuario,Esteban Herrera,esteban.herrera@ejemplo.com,19/11/1987,Masculino,Bronce,01/04/2024,01/05/2024,0.00,pagado,activo
525737,aksjdds,usuario,hollaaa,ajhdsd,snjdcjnfdls,Femenino,,,,0.0,,activo
